Health_Factors_pctile_within_state,Length_of_Life_pctile_within_state,pct_Smokers,pct_Physically_Inactive,pct_Excessive_Drinking,Preventable_Hospitalization_rate,pct_Some_College,pct_Frequent_Mental_Distress,pct_Diabetic,Median_Household_Income,pct_Rural,NSSATS_COMPSAT_3,NMHSS_TREATFAMTHRPY,NMHSS_TREATTRAUMATHRPY,NMHSS_FOCUS_Mental health treatment,NMHSS_FOCUS_Mix of mental health and substance abuse treatment,NMHSS_LANGPROV_BOTH staff and on-call interpreter,NMHSS_HLTHREC_-6,NMHSS_FACNUM_11 to 30 facilities,NMHSS_IPSEXPERF_3,NMHSS_IPAGEPER017_1,NMHSS_IPETHPERHISP_2,NMHSS_IPETHPERNONHISP_4,NMHSS_IPRACETOTASIAN_41 to 50,NMHSS_IPRACEPERWHIT_1,NMHSS_IPRACEPERWHIT_6,NMHSS_IPRACEPERUNK_2,NMHSS_IPRACEPERUNK_3,NMHSS_OPAGETOT017_51 to 75,NMHSS_OPAGETOT017_None,NMHSS_OPAGEPER017_0,NMHSS_OPETHPERHISP_3,NMHSS_OPETHTOTUNK_1 to 10,NMHSS_OPRACEPERBLK_1,NMHSS_OPRACETOTWHIT_More than 250,NMHSS_OPRACEPERWHIT_7,NMHSS_OPLEGALTOTNONFOREN_11,NMHSS_PERCENTVA_7,NSDUH_PRUD_PYR_AVEG,NSDUH_SMI_PYR_AVEG,NSDUH_AMI_PYR_AVEG,TEDSA_AGE_8,TEDSA_DETNLF_3,TEDSA_ARRESTS_-9,TEDSA_ARRESTS_0,TEDSA_METHUSE_-9,TEDSA_SUB1_7,TEDSA_SUB2_7,TEDSA_FRSTUSE2_10,TEDSA_FRSTUSE2_11,TEDSA_FRSTUSE2_12,TEDSA_FRSTUSE2_7,TEDSA_FRSTUSE2_8,TEDSA_FRSTUSE2_9,TEDSA_SUB3_7,TEDSA_FRSTUSE3_-9,TEDSA_FRSTUSE3_10,TEDSA_FRSTUSE3_11,TEDSA_FRSTUSE3_12,TEDSA_FRSTUSE3_5,TEDSA_FRSTUSE3_6,TEDSA_FRSTUSE3_7,TEDSA_FRSTUSE3_8,TEDSA_FRSTUSE3_9,TEDSA_OPSYNFLG_0,TEDSA_OPSYNFLG_1,TEDSA_OTCFLG_0,TEDSA_OTCFLG_1,TEDSA_DSMCRIT_-9,TEDSA_DSMCRIT_12,TEDSA_DSMCRIT_14,TEDSA_DSMCRIT_15,TEDSA_DSMCRIT_17,TEDSA_DSMCRIT_18,TEDSA_DSMCRIT_2,TEDSA_DSMCRIT_5,TEDSA_PSYPROB_1,TEDSD_AGE_8,TEDSD_DETNLF_1,TEDSD_PREG_1,TEDSD_CBSA_14540,TEDSD_CBSA_17300,TEDSD_CBSA_21060,TEDSD_CBSA_21780,TEDSD_CBSA_26580,TEDSD_CBSA_30460,TEDSD_CBSA_30940,TEDSD_CBSA_31140,TEDSD_CBSA_36980,TEDSD_DIVISION_6,TEDSD_SUB2_7,TEDSD_SUB3_7,TEDSD_DSMCRIT_14,TEDSD_PSYPROB_1,RetailDrug_AMOBARBITAL (SCHEDULE 2),RetailDrug_AMPHETAMINE,RetailDrug_FENTANYL BASE,RetailDrug_LISDEXAMFETAMINE,RetailDrug_METHYLPHENIDATE (DL;D;L;ISOMERS),RetailDrug_TAPENTADOL,Drug_Overdose_Mortality_Rate,STATE,County
66,60,21.2,32,14,73.79,39.43114031,14.3,11.8,41450,86.74472424,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,12.14873084,AL,Chilton
59,95,19,33.8,11.2,68.25,49.06832298,14.6,15.7,35049,100,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Choctaw
80,48,21.2,30.2,11,62.25,42.05847153,15.5,15.5,36620,75.98033523,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Clarke
71,14,20.4,36.2,12.3,98.55,42.78300357,14.8,13.5,35940,100,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Clay
32,62,18.5,33.2,14.2,63.52,49.53612595,13.2,11,40418,100,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Cleburne
11,5,19.3,29.4,13.4,59.09,59.51766355,13.9,12.3,46931,47.19508289,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,7.838065565,AL,Coffee
20,44,18.5,29.7,13.4,72.58,57.02134241,14.3,13.4,43057,43.89468656,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Colbert
93,81,23.8,33.5,10.3,144.65,37.46741155,17.4,18.5,29101,80.94950106,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Conecuh
78,51,21.8,30.8,12.3,75.85,41.41069397,15.4,15.6,34679,100,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Coosa
44,32,19.9,35.5,13.1,104.98,52.01342282,14.5,12.9,36149,69.65179399,0.095588235,0.590673575,0.450777202,0.834196891,0.150259067,0.124352332,0.020725389,0,0.010362694,0,0,0,0,0,0.046632124,0,0,0.03626943,0.300518135,0.300518135,0.010362694,0.062176166,0.025906736,0.098445596,0.07253886,0,0,0.009563713,0.044661982,0.189125487,0.132291855,0.140960809,0.001535127,0.905363915,0.000632111,0.163084703,0.043525375,0.002528445,0.001083619,0.000632111,0.016434893,0.008939859,0.004785985,0.018963338,0.854795015,0.000632111,0.001083619,9.03E-05,0.013545241,0.011378003,0.006411414,0.003702366,0.001535127,0.776774427,0.223225573,0.998103666,0.001896334,0.096893625,0.006321113,0,0.000361206,0.000361206,9.03E-05,0.001083619,0.173379086,0.032779483,0.121943214,0.008534384,0.010996225,0,0,0,0,0,0,0,0,0,1,0.056129985,0.026752011,0.000820614,0.045626128,5.47,507395.33,7558.55,285042.66,290860.23,262860,18.04444881,AL,Covington
