Model and feature tuning leaderboard (scorer=RMSE):
+-------------+-----------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+--------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+--------------+--------------------+----------+-------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+-----------+----------+--------+
|   job order | booster   |   colsample_bytree | debug_verbose   | early_stopping_rounds   | early_stopping_threshold   | eval_metric   |   gamma | gpu_id   | grow_policy   | learning_rate   |   max_bin |   max_delta_step |   max_depth |   max_leaves | min_child_weight   | monotonicity_constraints   | n_estimators   | n_gpus   | num_classes   | objective   | random_state   |   reg_alpha |   reg_lambda |   scale_pos_weight | silent   |   subsample | tree_method   |   scores |   scores_sd |   training_times |   rel_time |   optimal_n_estimators |   rel_optimal_n_estimators |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | job status   |   rel_scores |   complexity |   z-score | isbest   | good   |
|          16 | gbtree    |               0.65 | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |        64 |                0 |           4 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.7 | hist          |  5.13483 |    0.301329 |          4.79806 |  0.0128321 |                     47 |                   0.319728 |            102 |       209093 |       94 |          209093 |          95 | PASSED       |     0.989353 |      961.741 | 0.171185  |          | +      |
|          27 | gbtree    |               0.8  | 0               | 20                      | 0.001                      | rmse          |   0.001 | 0        | lossguide     | 0.1             |        64 |                0 |           0 |           16 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         2   |          0   |                  1 | True     |         0.9 | hist          |  5.13938 |    0.291272 |         12.7433  |  0.0340811 |                     51 |                   0.346939 |            102 |       209093 |      229 |          209093 |         254 | PASSED       |     0.988477 |     1271.18  | 0.185429  |          | +      |
|          28 | gbtree    |               0.65 | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |           4 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.5 |                  1 | True     |         0.7 | hist          |  5.1451  |    0.290307 |         13.7478  |  0.0367676 |                     42 |                   0.285714 |            102 |       209093 |      232 |          209093 |         268 | PASSED       |     0.987378 |     2121.14  | 0.203345  |          | +      |
|          10 | gbtree    |               0.8  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |        64 |                0 |           3 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          2   |                  1 | True     |         0.6 | hist          |  5.14753 |    0.313467 |          4.01978 |  0.0107507 |                     76 |                   0.517007 |            102 |       209093 |       90 |          209093 |          91 | PASSED       |     0.986912 |      725.34  | 0.21095   | *        | +      |
|          30 | gbtree    |               0.65 | 0               | 20                      | 0.001                      | rmse          |   0.01  | 0        | lossguide     | 0.05            |       256 |                0 |           0 |          512 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.8 | hist          |  5.15022 |    0.291239 |        373.911   |  1         |                     90 |                   0.612245 |            102 |       209093 |      244 |          209093 |         280 | PASSED       |     0.986397 |    76486.5   | 0.219373  |          | +      |
|          17 | gbtree    |               0.3  | 0               | 20                      | 0.001                      | rmse          |   1     | 0        | depthwise     | 0.05            |        64 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          5   |                  1 | True     |         0.9 | hist          |  5.15673 |    0.328953 |         31.4694  |  0.0841628 |                    147 |                   1        |            102 |       209092 |       98 |          209092 |          99 | PASSED       |     0.985151 |    30990.3   | 0.239771  |          | +      |
|           5 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.15725 |    0.309396 |         20.2188  |  0.0540738 |                     37 |                   0.251701 |            102 |       209092 |       95 |          209092 |          95 | PASSED       |     0.985052 |     7561.5   | 0.241389  |          | +      |
|           7 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.15725 |    0.312278 |         20.3584  |  0.0544472 |                     37 |                   0.251701 |            102 |       209092 |       95 |          209092 |          95 | PASSED       |     0.985052 |     7561.5   | 0.241389  |          | +      |
|           6 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.1598  |    0.311686 |         18.8248  |  0.0503458 |                     34 |                   0.231293 |            102 |       209092 |       86 |          209092 |          86 | PASSED       |     0.984565 |     6290.14  | 0.249382  |          | +      |
|           8 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.1598  |    0.307497 |         18.7883  |  0.050248  |                     34 |                   0.231293 |            102 |       209092 |       86 |          209092 |          86 | PASSED       |     0.984565 |     6290.14  | 0.249382  |          | +      |
