NM,3.4,4.0,10.2,16.2,101.3081647,450.4,11.7,17.9,32.2,63.85,48.88200133,18.2,4.2940345319999995,63.0,57007.0,24.4,3.0,18.5,21879.0,48.75678765,10.1,19.24406892
CA,3.8,3.9,11.3,17.6,55.47855233,328.5,11.6,15.0,31.5,35.74,65.66873147,15.9,7.326429913999999,51.0,55803.0,16.9,3.0,23.8,22886.0,46.43329845,9.7,15.88429317
FL,4.4,4.2,12.9,15.4,101.4279082,400.5,12.3,17.4,33.5,49.64,49.30921879,17.6,7.280051199,71.0,39860.0,27.8,3.0,29.7,18605.0,59.59990474,12.2,16.01338007
HI,2.8,3.4,9.2,17.6,57.6732280625,285.725,10.8,13.7,38.1,26.5875,89.43873516375,16.3,4.7507028125,62.5,62190.75,23.1,2.5,17.625,10167.0,36.22157286,15.6,11.18970686125
WV,4.7,4.9,14.6,10.6,62.09854263,435.8,14.5,23.4,35.5,82.35,41.65178571,22.4,6.074967686,48.0,46383.0,33.8,2.0,25.7,15719.0,44.67398322,13.4,28.09273757707353
KY,4.1,4.6,12.3,12.1,92.64024704,524.9,13.9,21.9,38.6,93.93,43.08252427,22.0,5.557314756,70.0,43024.0,29.6,3.0,24.3,17006.0,40.76822348,12.4,24.86390448522435
NH,3.5,3.3,10.1,18.3,56.75483482,274.5,9.5,17.2,28.1,38.23,66.40597227,11.8,3.591332557,20.0,56353.0,18.3,1.0,15.5,25697.0,24.47338519,8.5,12.29196776
KY,4.0,4.5,12.1,11.5,81.58836746,487.7,13.4,20.8,36.1,74.97,53.11716386,19.2,6.423131034,44.0,42477.0,29.4,2.0,24.9,17623.0,44.91828396,12.7,20.03893278
TN,4.7,4.9,14.1,11.5,94.64412302,501.7,14.6,22.1,34.4,96.51,48.07085098,22.4,6.303654647999999,55.0,45235.0,39.2,3.0,25.6,16245.0,50.28311313,11.7,18.10214604
WI,3.1,2.9,8.9,25.7,43.46607412,233.9,8.5,13.7,29.7,37.32,71.29380054,9.9,4.2510563889999995,2.0,68430.0,22.9,1.0,7.9,32952.0,21.59946237,7.9,8.739965847
GA,4.5,4.8,14.0,13.1,91.72208209,560.9,15.1,21.0,41.7,89.07,42.09105633,23.5,10.71637256,97.0,30119.0,30.4,4.0,45.0,13519.0,71.10144264,14.3,14.59427904
NJ,3.9,4.1,11.9,15.9,55.75065456,409.2,13.0,19.3,38.8,68.55,38.90489914,21.1,9.869723815,96.0,45438.0,27.7,4.0,28.1,20062.0,60.59150933,11.5,16.93100193
IL,3.6,3.8,10.7,18.7,68.42227525,324.7,10.8,16.1,33.2,64.99,61.72975132,15.5,7.505052772999999,23.0,48569.0,26.4,1.0,22.2,19833.0,46.89928163,11.5,11.41764311
OK,3.9,3.8,11.6,13.9,78.54878278,403.6,11.3,16.7,32.6,73.32,62.81367094,15.8,3.7082818289999997,20.0,58392.0,27.8,1.0,13.9,24929.0,38.76939831,10.1,23.7579612
WA,3.8,3.6,10.7,20.0,57.37979021,328.5,10.6,16.7,35.2,44.08,62.89699218,14.3,7.208033237,54.0,60397.0,20.4,3.0,17.5,26841.0,39.22252051,8.4,14.73601824
ND,2.4,2.4,7.1,22.3,79.6241739,365.0,7.3,15.6,28.7,50.75,73.44322344,10.6,2.724014337,60.0,60957.0,31.2,3.0,10.0,27119.0,21.24183007,8.8,6.2710039295
MO,4.3,4.8,13.8,13.0,69.57795477,474.1,14.8,24.2,33.8,39.59,49.44524843,21.8,7.395883198,97.0,29415.0,30.1,4.0,38.2,12965.0,53.77626349,13.5,18.139326690259615
NE,2.6,2.7,8.0,20.0,79.12644406,319.4,8.2,15.6,27.9,51.12,57.60709010000001,11.9,3.640069889,30.0,51040.0,32.0,2.0,14.5,23899.0,23.5,9.2,8.6455494848
PA,4.0,3.9,12.3,18.1,83.97727196,338.5,11.5,20.0,35.9,75.56,60.03944557,15.9,5.901419211,60.0,42611.0,27.8,3.0,21.9,17895.0,34.70765396,10.0,17.82537955
ND,2.7,2.8,8.2,21.7,133.07477910374996,378.0,8.6,18.7,29.9,68.66,61.89555126,13.1,2.819107283,60.0,62875.0,31.2,3.0,9.6,19782.0,16.19937695,9.6,6.2710039295
OR,4.1,4.3,12.1,18.5,83.98015015,269.6,12.6,16.6,31.9,50.63,59.12772586,15.0,9.795570698999999,23.0,40328.0,18.6,1.0,28.3,16741.0,47.71536875580644,11.8,12.744558361454546
IL,3.7,3.8,10.8,21.8,45.99829658,284.1,11.3,17.1,32.6,49.5,78.34028229,15.9,6.052644336,17.0,47966.0,20.8,1.0,23.5,16853.0,47.11570524,8.0,11.70149487
ND,2.4,2.3,7.0,20.5,85.24509784011904,355.3,7.0,13.7,25.9,116.2825,65.32258065,10.2,2.4680851059999998,60.0,51192.0,30.4,3.0,11.2,23860.0,31.42857143,10.0,6.2710039295
MT,4.4,4.8,14.0,19.9,133.07477910374996,655.475,15.3,28.2,34.7,49.77,40.02361275,23.9,5.273958546999999,100.0,37511.0,31.4,4.0,30.6,14601.0,77.59472817,12.0,29.95446921
