TX,3.4,3.9,10.8,16.3,65.00158604,326.7,12.7,16.6,32.0,97.71,45.59606307,22.9,5.104712042,12.0,47227.0,26.9,1.0,23.7,21101.0,60.01478197,12.6,11.442085291963853
FL,3.8,3.8,12.0,21.4,87.45480414,655.475,11.7,20.7,37.0,100.17,42.40184758,16.7,6.046511627999999,100.0,40207.0,31.2,4.0,26.1,18422.0,53.58078603,10.6,14.883402484812498
GA,4.4,4.8,14.0,12.5,49.38542581,355.7,15.3,21.5,42.1,56.77,33.38603426,25.0,9.752953813,31.0,31103.0,31.9,2.0,39.5,11929.0,86.39455782,16.6,14.893421475186669
IA,2.8,2.9,8.6,18.8,55.80772379,235.9,8.6,15.3,26.7,34.88,63.36061627,11.6,3.658094893,4.0,52616.0,24.5,1.0,16.5,22846.0,24.63768116,10.0,10.118499173200002
WV,4.7,4.8,14.0,12.6,97.92587555,453.0,14.2,24.3,37.0,81.41,40.84251639,21.9,7.072326779,70.0,37468.0,29.6,3.0,27.5,16870.0,47.25806452,12.4,19.26825951
KY,4.1,4.5,12.2,12.8,96.42420166,503.9,13.4,23.4,36.3,97.19,47.97328778,19.3,6.463708597,68.0,46226.0,28.1,3.0,25.9,20554.0,48.22981995,10.8,34.66719396625
VA,3.5,3.8,10.7,15.3,82.05128205,411.1,11.0,19.8,36.2,71.18,48.76630743,17.4,6.385742117,48.0,41132.0,27.3,2.0,21.6,16686.0,40.539305299999995,10.6,25.08094304
MO,4.0,4.3,12.3,14.6,68.53653724,400.4,12.7,21.3,32.3,52.83,49.02565232,17.4,5.8592191510000005,46.0,39908.0,24.8,2.0,27.2,18298.0,46.82269504,11.2,13.08044474
TN,4.7,4.7,14.2,11.0,103.8357755,490.4,14.3,23.4,37.9,69.7,46.36377497,22.4,6.3054187189999995,46.0,41326.0,32.1,2.0,25.4,16423.0,51.33070478,13.0,19.6144039
AK,3.6,4.3,11.3,19.7,70.67637289,353.7,12.8,25.1,35.0,53.71,47.81746032,17.1,11.784425742500002,55.0,43245.0,29.0,3.0,25.9,19200.0,48.95591647,11.4,17.575999248
OK,4.5,4.9,14.4,12.3,90.84714967,487.8,15.2,23.4,35.8,116.2825,41.35095448,23.0,6.1139028479999995,46.0,35910.0,29.8,2.0,30.7,16134.0,61.37961336,13.3,21.934399065390625
OK,3.9,4.0,11.6,12.7,103.64916550000001,293.0,11.8,16.4,31.9,64.68,44.52269171,17.7,2.742346939,3.0,56664.0,31.1,1.0,15.7,25536.0,43.29432943,11.2,21.934399065390625
IL,3.6,3.6,10.5,19.5,70.9402023,346.6,10.6,16.4,31.4,60.98,57.45841287,14.2,5.78353424,34.0,39005.0,29.5,2.0,22.6,17907.0,45.43136422,10.4,15.00766289702
SC,3.9,3.7,11.5,15.8,60.52630721,356.9,11.0,20.7,37.9,52.09,62.03222699,15.1,5.950190161,14.0,52436.0,25.0,1.0,20.7,23166.0,51.38435693,10.3,14.08920183
AR,4.1,4.6,12.7,15.8,69.19880656,413.1,13.6,21.3,31.6,70.59,53.71399044,21.0,6.362142172,7.0,39909.0,28.3,1.0,25.3,18060.0,46.56084656,10.1,7.426543528
IA,2.9,2.9,8.8,18.8,82.78029548,306.0,8.9,16.4,27.2,46.65,60.3548277,12.0,5.876301916,41.0,45229.0,24.8,2.0,19.1,22898.0,41.03730664,10.5,10.118499173200002
OR,4.3,4.2,12.5,19.1,87.62361728,392.5,12.6,17.6,32.8,35.66,59.86241657,16.5,9.661987568999999,92.0,39234.0,19.5,4.0,29.1,17174.0,62.48654467,10.9,9.124226342
SD,2.6,2.9,8.4,15.7,82.53672644757351,395.5,9.1,15.7,25.7,61.99,60.81730769,11.7,2.737226277,62.0,43699.0,27.7,3.0,15.3,17219.0,23.17460318,10.8,6.640612002999999
AR,4.5,4.9,14.1,13.0,90.57129587,503.1,15.1,22.5,31.8,74.34,41.95804196,22.2,8.699353081,86.0,32101.0,29.2,4.0,33.5,15213.0,57.96070461,14.3,19.60438354
NE,2.7,2.8,8.3,19.7,64.92904183,233.3,8.6,15.3,29.3,43.92,65.30454896,12.8,3.312392918,8.0,55758.0,28.4,1.0,16.4,25459.0,34.74842767,10.1,8.6455494848
PA,4.1,3.7,12.2,17.1,69.58316372,341.1,11.0,20.1,34.7,71.57,56.51182982,15.1,6.847836751,48.0,47360.0,27.0,2.0,23.2,20033.0,29.85020754,10.9,9.425514869
KY,3.7,4.2,11.2,11.8,71.83048007,374.2,12.4,20.8,36.4,69.29,52.89017341,18.3,6.902300767000001,34.0,43067.0,31.0,2.0,22.7,19188.0,40.29017857,13.2,24.86390448522435
IA,2.9,3.1,8.8,18.0,86.99368151,314.7,9.2,16.2,26.6,60.19,58.47520355,13.8,4.2677704819999995,73.0,50108.0,29.7,3.0,17.8,19555.0,42.22307989,10.9,10.118499173200002
OR,4.4,4.4,13.0,18.3,133.07477910374996,383.0,13.2,17.4,30.3,50.6,65.27027027,15.9,9.832134293,95.0,36340.0,19.8,4.0,31.6,17989.0,47.71536875580644,12.0,12.744558361454546
KY,4.3,5.0,13.2,11.3,89.51120489,466.4,15.1,23.6,38.4,111.85,46.0593654,23.2,5.471180238,52.0,40002.0,34.3,3.0,29.4,16038.0,54.10065238,13.3,24.86390448522435
VA,2.9,2.8,8.5,17.8,36.75465508,217.8,8.2,15.2,33.1,35.33,78.53025937,12.0,5.012978078,9.0,73077.0,22.3,1.0,7.0,33406.75,13.44497222,8.6,5.534396273
VA,3.8,4.1,12.1,15.6,56.97151424,416.9,12.7,21.5,35.4,58.93,37.61031908,18.6,5.7651675220000005,62.0,38331.0,24.2,3.0,25.2,16178.0,40.87038789,10.5,15.446904274628674
MD,3.2,3.0,9.7,15.4,51.75141577,337.8,8.8,13.7,44.349999999999994,64.08,67.58255359,12.7,5.628052599,55.0,73077.0,22.6,3.0,10.3,33406.75,26.20477406,10.9,11.78516946
ID,3.3,3.2,9.8,19.3,74.94477753,202.3,9.6,15.8,30.8,34.49,66.88102894,12.3,3.9363034530000003,10.0,57644.0,16.4,1.0,18.2,23144.0,34.10672854,6.9,14.130715591000001
TX,3.3,3.8,10.4,16.3,65.76685649,443.9,11.6,16.3,31.9,55.66,53.63575717,19.3,4.923820141,67.0,39377.0,28.9,3.0,23.9,16494.0,55.01022495,12.2,11.442085291963853
GA,3.5,3.3,10.1,17.1,57.3362421,342.5,9.8,14.6,37.4,63.84,61.16445849,13.8,6.35949295,24.0,64533.0,24.7,1.0,17.4,28276.0,34.252218,9.7,14.893421475186669
SD,3.1,3.6,10.0,17.6,133.07477910374996,503.0,11.2,22.3,28.8,51.41,56.66266507,15.8,4.237754541,85.0,40639.0,23.9,4.0,35.1,20397.0,36.36363636,11.3,6.640612002999999
MN,2.7,2.7,8.3,20.9,48.71041503,252.0,8.1,15.6,25.9,44.34,60.72629012,11.0,4.0390527160000005,26.0,60317.0,21.8,1.0,16.0,25550.0,33.04509632,7.5,6.152142484
